# Region type : faceZone nozzleOutletZone
# Faces  :     3013
# Area   :     6.30029605e-09
# Time         	sum(rhoPhi)	sum(phi)
2.2078393e-05  	-2.41778122e-03	3.38398329e-06
2.2078596e-05  	-2.41780926e-03	3.38402205e-06
2.2078798e-05  	-2.41783738e-03	3.38406089e-06
2.2079e-05     	-2.41786557e-03	3.38409996e-06
2.2079202e-05  	-2.41789384e-03	3.38413921e-06
2.2079404e-05  	-2.41792218e-03	3.38417862e-06
2.2079607e-05  	-2.41795060e-03	3.38421820e-06
2.2079809e-05  	-2.41797913e-03	3.38425794e-06
2.2080011e-05  	-2.41800780e-03	3.38429782e-06
2.2080213e-05  	-2.41803655e-03	3.38433782e-06
2.2080416e-05  	-2.41806536e-03	3.38437795e-06
2.2080618e-05  	-2.41809421e-03	3.38441819e-06
2.208082e-05   	-2.41812309e-03	3.38445846e-06
2.2081022e-05  	-2.41815239e-03	3.38449889e-06
2.2081224e-05  	-2.41818189e-03	3.38453927e-06
2.2081427e-05  	-2.41821189e-03	3.38457989e-06
2.2081629e-05  	-2.41824213e-03	3.38462036e-06
2.2081831e-05  	-2.41827195e-03	3.38466114e-06
2.2082033e-05  	-2.41830199e-03	3.38470163e-06
2.2082235e-05  	-2.41833227e-03	3.38474260e-06
2.2082438e-05  	-2.41836210e-03	3.38478318e-06
2.208264e-05   	-2.41839222e-03	3.38482433e-06
2.2082842e-05  	-2.41842262e-03	3.38486514e-06
2.2083044e-05  	-2.41845307e-03	3.38490658e-06
2.2083246e-05  	-2.41848310e-03	3.38494754e-06
2.2083449e-05  	-2.41851346e-03	3.38498921e-06
2.2083651e-05  	-2.41854411e-03	3.38503043e-06
2.2083853e-05  	-2.41857481e-03	3.38507243e-06
2.2084055e-05  	-2.41860555e-03	3.38511393e-06
2.2084258e-05  	-2.41863636e-03	3.38515623e-06
2.208446e-05   	-2.41866668e-03	3.38519791e-06
2.2084662e-05  	-2.41869678e-03	3.38524033e-06
2.2084864e-05  	-2.41872740e-03	3.38528212e-06
2.2085066e-05  	-2.41875835e-03	3.38532478e-06
2.2085269e-05  	-2.41878933e-03	3.38536679e-06
2.2085471e-05  	-2.41882038e-03	3.38540965e-06
2.2085673e-05  	-2.41885146e-03	3.38545183e-06
2.2085875e-05  	-2.41888260e-03	3.38549483e-06
2.2086077e-05  	-2.41891374e-03	3.38553715e-06
2.208628e-05   	-2.41894493e-03	3.38558020e-06
2.2086482e-05  	-2.41897612e-03	3.38562263e-06
2.2086684e-05  	-2.41900737e-03	3.38566573e-06
2.2086886e-05  	-2.41903865e-03	3.38570831e-06
2.2087088e-05  	-2.41907000e-03	3.38575152e-06
2.2087291e-05  	-2.41910140e-03	3.38579435e-06
2.2087493e-05  	-2.41913287e-03	3.38583771e-06
2.2087695e-05  	-2.41916441e-03	3.38588074e-06
2.2087897e-05  	-2.41919603e-03	3.38592423e-06
2.20881e-05    	-2.41922777e-03	3.38596750e-06
2.2088302e-05  	-2.41925962e-03	3.38601116e-06
2.2088504e-05  	-2.41929156e-03	3.38605470e-06
2.2088706e-05  	-2.41932362e-03	3.38609856e-06
2.2088908e-05  	-2.41935576e-03	3.38614235e-06
2.2089111e-05  	-2.41938800e-03	3.38618638e-06
2.2089313e-05  	-2.41942031e-03	3.38623039e-06
2.2089515e-05  	-2.41945270e-03	3.38627458e-06
2.2089717e-05  	-2.41948517e-03	3.38631878e-06
2.2089919e-05  	-2.41951771e-03	3.38636312e-06
2.2090122e-05  	-2.41955032e-03	3.38640749e-06
2.2090324e-05  	-2.41958300e-03	3.38645198e-06
2.2090526e-05  	-2.41961576e-03	3.38649653e-06
2.2090728e-05  	-2.41964857e-03	3.38654117e-06
2.209093e-05   	-2.41968144e-03	3.38658586e-06
2.2091133e-05  	-2.41971436e-03	3.38663064e-06
2.2091335e-05  	-2.41974735e-03	3.38667550e-06
2.2091537e-05  	-2.41978041e-03	3.38672045e-06
2.2091739e-05  	-2.41981354e-03	3.38676550e-06
2.2091942e-05  	-2.41984674e-03	3.38681065e-06
